30 94
9 15 4
22 29 -7
3 7 0
12 28 8
12 26 -4
3 25 -6
5 11 -10
23 24 1
1 14 3
16 17 5
9 12 -3
15 16 -6
1 17 7
13 22 5
10 23 2
5 21 -2
4 20 -1
21 25 10
1 10 -2
15 22 6
0 13 7
11 20 2
8 12 -4
8 27 -9
13 19 -5
6 29 9
2 4 1
18 26 -2
5 21 -8
11 20 -1
12 28 -1
13 19 -8
3 25 9
22 29 1
3 25 0
2 4 -8
9 15 -5
3 29 10
3 29 10
1 14 -1
12 26 -5
0 13 -1
11 20 1
9 15 -8
3 7 5
3 7 -4
21 25 -6
12 26 -8
3 25 4
3 29 4
5 11 -6
15 16 7
11 20 4
21 25 -8
8 27 3
16 17 -4
4 20 -10
12 26 -1
3 29 -2
2 4 -8
22 29 -7
18 26 8
9 15 7
2 4 0
2 4 6
22 29 0
5 21 -7
12 28 0
12 28 5
0 13 8
11 20 -9
21 25 -7
12 26 8
0 13 -8
2 4 -6
2 4 -5
15 22 -10
5 21 9
0 13 -5
5 11 -5
23 24 3
12 26 -10
11 20 -5
9 15 4
11 20 4
6 29 -4
15 22 -10
9 15 -4
5 21 -9
1 17 7
0 13 0
3 7 -4
11 20 10
8 27 0
